,2834151,2433420,2461926,2630110,2551909,2404316,2418494,2263220,2399123,,Rector Street,2835176,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,3663573,3153103,3065613,3047320,2997046,2899097,2986993,2684030,2648494,,Cortlandt Street,3690559,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,1680414,1482390,1460414,1567516,1534934,1429523,1488200,1410210,1419210,,Park Place,1646482,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,1805578,1642731,1624592,1676512,1655974,1606056,1647458,1547822,1483792,,Chambers Street,1716370,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,1894192,1268250,1180563,1211396,1132461,1080164,1105224,1150254,1119925,,Franklin Street,1421464,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,2480416,2193820,1848721,1912024,1843984,1720578,1705224,,2119210,,Grand Street,2476492,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,3286888,3304178,3301839,3402119,3410887,3435694,3454019,3386195,3222781,,Bleecker Street,3341291,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,2563618,2373517,2317714,2350244,2320516,2244119,2346195,2486043,2285519,,4th Street,2604134,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,3627689,3842060,3649680,3620955,3671296,3714081,3917758,3939715,4134052,,14th Street,3557864,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,2622195,2542561,2546491,2759727,2652032,2696329,2527624,3417032,2328853,,18th Street,2684093,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Third Avenue Line and Sixth Avenue Line stations, Year Ended June 30, upper portion of page"
,,,,,,,,,,,SIXTH AVENUE LINE—Concluded,,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,3640040,3340260,3357843,3577287,3457517,3369567,3412023,3360500,3301151,,22d Street,3754775,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,2880030,2670780,2664929,2855076,2749769,2650282,2753664,2780012,2812287,,28th Street,2981846,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,7054600,6965680,7302670,7781498,7523265,7565274,7919061,7855974,7827314,,33d Street,7483090,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,3303600,3098340,3001075,3679448,3097685,3033095,3204855,3178396,3137502,,38th Street,3415020,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,6504230,6955220,6092182,7611094,6624952,8960932,7482122,7590369,7849762,,*42d Street,6361460,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,3309060,3070800,3057860,3128054,3039267,2218906,4984245,3514552,3363009,,50th Street,3162036,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,2166430,2055514,2094096,2181438,2262324,2356223,2371819,2377863,2350906,,53d Street,2079352,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,766280,606720,295486,693904,,,,,,,58th Street (to 6/18/24),837995,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,3309140,3273800,3423900,3515881,3506849,4764552,5072809,4922756,4008417,,60th Street,3408608,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,3849236,3495000,3430631,3558184,3483372,3437337,3577359,3600743,3422377,,66th Street,3855159,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,2605830,2493210,2543916,2701968,2728269,2879666,3250299,3374278,3849907,,72d Street,2541312,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,3421600,3380610,3286440,3329210,3277810,3237956,3470648,3626015,3499699,,81st Street,3419019,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,2951840,2847660,2847096,2907147,2903514,3007076,3259544,3381559,3303037,,86th Street,2728993,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,4066210,4031900,3809406,3896400,3743030,3638961,3778157,3938386,3163485,,93d Street,3977164,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,3422900,3200400,3197311,3188547,3122698,3178693,3192667,3149101,3224602,,99th Street,3394359,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,4094380,3815040,3783311,3712255,3601768,3615626,3798086,3787036,3763230,,104th Street,4070877,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,3117860,3004620,2953210,2927556,2854401,2830811,2900462,3097450,3059356,,110th Street,2857670,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,5029900,4693700,4704053,4745883,4600503,4642679,4672691,4619771,4527694,,116th Street,4961901,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,6405430,5853180,5784854,4911690,5954718,5914031,6161706,6012372,5926582,,*123d Street,6351289,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,4988540,4608800,4583790,4553890,4441610,4338951,4529318,4428716,4437526,,125th Street,4540038,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,2701430,2395770,2346862,2345710,2211649,2158789,2354807,3254089,2310553,,135th Street,2747592,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,3594642,3066850,3020062,3596774,2853207,2773274,2840758,2861562,2923780,,140th Street,3843825,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,3248560,2975100,2883245,2978317,2872449,2758978,2925197,2918867,2857013,,145th Street,3025491,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,1629010,1480630,1421619,1326695,1315239,1290081,1302839,1432294,1632229,,151st Street,1441449,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,,,,,,,,,2432475,,155th Street (from June '25),,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,3650724,3495360,3355308,3134168,3951420,476701,491387,498367,,,157th Street,3274042,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,834320,704800,284976,729951,755225,850956,847808,916881,977202,,Sedgwick Avenue,632615,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,975568,2167200,2120060,2183685,2128136,2207093,2116048,2150948,2285110,,Anderson and Jerome Aves.,986910,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,128868,121668,103099,84687,47604,49044,51639,53969,85769,,Miscellaneous,244396,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,40490633,35970917,38429133,39012431,34253047,35330831,37432742,36769253,36821896,,NINTH AVENUE LINE—Total,40492137,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,5198634,4678000,4756910,4804436,4632145,4607155,4605450,4688695,4618400,,South Ferry,5190498,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,2317479,1917636,1848644,1837744,1756148,1686558,1783070,1706363,1713756,,Battery Place,2396723,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,676030,606820,563260,607356,574432,561802,717021,767611,797647,,Rector Street,678523,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,2975810,3605200,3522673,3792078,3741680,3890070,3776948,3560075,3442600,,Cortlandt Street,3073577,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,1298310,1107710,1050445,1016681,987018,965882,1033216,992055,1023409,,Barclay Street,1269450,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,1499386,1337900,1343090,1390640,1271843,1279660,1235614,1240884,1207860,,Park Place,1523141,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,1102142,980971,969154,1008282,976424,946903,925893,906120,883530,,Franklin Street,1148087,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,1635780,1326680,1392635,1483717,1489539,1873741,1398806,1365514,1319218,,Desbrosses Street,1569218,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,1413820,1280180,1264370,1376510,1286534,1284819,1285139,1280193,1234380,,Houston Street,1406352,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,3072700,2694760,2744206,2923450,2912565,3849178,3878490,3695208,2576468,,Christopher Street,3154889,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,3234920,2950400,2073979,2571470,3499792,3380613,3481032,3344549,3209815,,14th Street,3246701,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,2397600,2135300,2073070,2040430,1945791,1870342,1937500,1918090,1808930,,18th Street,2430540,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,1668514,1418385,1434119,1530607,1461715,1410741,1451640,1440593,1424148,,23d Street,1623538,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,3901060,3488700,3386796,3460870,3361390,3267095,3297870,4244401,4174823,,28th Street,4224009,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,4183096,3639359,3636142,4185426,4191768,3917514,4062876,4244401,4682640,,34th Street,4138871,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,3023941,2808591,2835421,2959371,2852813,3630153,3041353,3030602,2941948,,42d Street,3048655,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,3162800,1486210,1448990,1587012,1625346,18341,,,,,50th Street (to July '25) (b),3143684,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,32474,35644,59068,17123,18341,17320,10217,14471,11862,,Miscellaneous,66905,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,374963051,348517316,348524700,359410056,352723553,346204574,350019660,351256534,348569124,,"Total, Elevated Division",369034477,,,,,,,,,,,,,,,,6,"Elevated Division - Concluded, Sixth Avenue Line and Ninth Avenue Line stations, Year Ended June 30, lower portion of page"
,44722559,88536568,88352550,80496811,86818075,80072988,87759288,41098796,42980802,,,49505428,"Bklyn., Atlantic Ave. to Borough Hall",,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Subway Division Contract 1 and 2 Stations"
,120645490,117899882,121050988,122925230,124875927,128549835,127606063,138480287,142815864,,,123662051,"Manh., East, South Ferry to Grand Central",,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Subway Division Contract 1 and 2 Stations"
,63385682,64073541,67476547,71608104,72588065,77988419,83400806,91262845,91071217,,,61316902,"Manh., West, Times Square to 96th St.",,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Subway Division Contract 1 and 2 Stations"
,52719197,61653467,61817679,64036449,63669554,57593588,60172215,64613122,64299803,,,52218140,"Manh., Upper B'way to 225th St.",,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Subway Division Contract 1 and 2 Stations"
,4609756,4740732,4749129,4855765,4745277,4800068,5100026,6824670,6815672,,,4347180,"Bronx, B'way, 231st to 242d St.",,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Subway Division Contract 1 and 2 Stations"
,82224400,80035724,81260537,82500873,82809874,82829833,82916337,84698505,83753879,,,80545159,"Manh., Lenox Ave. Branch",,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Subway Division Contract 1 and 2 Stations"
,49560830,47456501,47055256,48743605,49850648,51153029,51662716,84038593,83621638,,,47941869,"Bronx, West Farms Branch",,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Subway Division Contract 1 and 2 Stations"
,432030,448808,297754,207161,215073,191103,170572,211219,256820,,,1055826,Miscellaneous ticket sales,,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Subway Division Contract 1 and 2 Stations"
,368180944,355235223,361060540,375374198,376332493,302179861,393879522,430227747,434643894,,,370505555,Total,,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Subway Division Contract 1 and 2 Stations"
,116451936,123340790,132127933,138701803,143025077,182005941,158514550,176035353,179504232,,,101528260,"Seventh Ave. Line, Times Square to Borough Hall",,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Subway Division Contract 2 Stations"
,100077536,106812725,118340486,132311615,142272715,164895215,162885308,179697587,190625818,,,88960036,Lexington Avenue Line (net),,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Subway Division Contract 2 Stations"
,6522120,6866040,7033044,7669457,8119902,8740767,9390487,11469709,14276816,,,6114741,White Plains Rd. Line (net),,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Subway Division Contract 2 Stations"
,24356428,29969931,32490610,36920468,41674144,48545369,52117351,59844877,64843530,,,,Eastern P'kway Line (Bklyn.),,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Subway Division Contract 2 Stations"
,21787816,21750856,24579818,23955356,25395341,27909920,32839278,40418194,48663213,,,18900041,Queensboro Subway (net),,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Subway Division Contract 2 Stations"
,271195836,289740251,314580891,339558989,360488179,392100212,415747074,467465720,497903100,,,215503078,Total,,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Subway Division Contract 2 Stations"
,639385780,644975474,675650431,714933187,736820672,764280073,814626596,897693467,932446803,,,586008533,"Total, Subway Division",,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Subway Division Contract 2 Stations"
,66278329,63012068,63806080,63776653,64407486,62227695,63039749,61448238,60789154,,,64389975,Second Ave. Line (gross),,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Elevated Division"
,143173076,136025215,135882711,138664426,134933470,131729106,136270751,130104888,128115490,,,140778076,Third Ave. Line (gross),,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Elevated Division"
,124351013,113500016,112404476,117954753,116109500,115916940,122276412,122939178,123042584,,,123374289,Sixth Ave. Line (gross),,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Elevated Division"
,40490633,35970917,36429433,39012214,38253097,36330833,37432748,36766232,36621896,,,40492137,Ninth Ave. Line,,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Elevated Division"
,374293051,348517216,348524700,359410056,352723553,346204874,359019660,351258534,348569124,,,369034477,"Total, Elevated Division",,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Elevated Division"
,1013678831,993492690,1025175131,1074343243,1089544225,1130484647,1173646256,1248952001,1281015927,,,955133110,"Grand Total, Subway and Elevated Divisions",,,,,,,,,,,,,,,7,"Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Recapitulation by Lines - Elevated Division"
,455241162,457044837,478113107,501406071,508358912,534730067,552541542,602200900,612837281,,,433934048,,Manhattan,,,,,,,,,,,,,,7,"Recapitulation by Boroughs - Subway Division - Fiscal Years Ended June 30, 1920 to 1929"
,93947039,95506625,100700038,112044766,120307839,132382131,141150099,156240562,166583176,,,85352391,,The Bronx,,,,,,,,,,,,,,7,"Recapitulation by Boroughs - Subway Division - Fiscal Years Ended June 30, 1920 to 1929"
,76558889,75953675,78267090,84226462,88623627,96106068,98432263,110306549,117235153,,,54709349,,Brooklyn,,,,,,,,,,,,,,7,"Recapitulation by Boroughs - Subway Division - Fiscal Years Ended June 30, 1920 to 1929"
,28811015,29457207,32531002,31659226,33903350,86025852,40265195,47843231,54657761,,,25718165,,Queens,,,,,,,,,,,,,,7,"Recapitulation by Boroughs - Subway Division - Fiscal Years Ended June 30, 1920 to 1929"
,562622,857186,344990,228810,231639,205439,194642,240628,201482,,,1170554,,Unallocated,,,,,,,,,,,,,,7,"Recapitulation by Boroughs - Subway Division - Fiscal Years Ended June 30, 1920 to 1929"
,-15735867,-13846146,-13486696,-14841848,-14804895,-15169484,-17977145,-19150803,-19168060,,,-14785874,,Adjustment with 'El.' Div. a/c joint traffic—Dr.,,,,,,,,,,,,,,7,"Recapitulation by Boroughs - Subway Division - Fiscal Years Ended June 30, 1920 to 1929"
,639385780,644975474,676650431,714933187,736820672,784280073,814626596,897693467,932446803,,,586008633,,"Total, Subway Div.",,,,,,,,,,,,,,7,"Recapitulation by Boroughs - Subway Division - Fiscal Years Ended June 30, 1920 to 1929"
,200832435,285787057,286942001,307026198,290873001,283768749,301601989,383306543,280564917,,,203302071,,Manhattan,,,,,,,,,,,,,,7,"Recapitulation by Boroughs - Elevated Division - Fiscal Years Ended June 30, 1920 to 1929"
,81441313,76963998,67027519,47820064,47142554,47143287,49249533,45684534,48766399,,,81323763,,The Bronx,,,,,,,,,,,,,,7,"Recapitulation by Boroughs - Elevated Division - Fiscal Years Ended June 30, 1920 to 1929"
,-453749,-450015,,103434,103434,103434,100603,127664,70748,,,-670463,,Unallocated,,,,,,,,,,,,,,7,"Recapitulation by Boroughs - Elevated Division - Fiscal Years Ended June 30, 1920 to 1929"
,15735867,13846146,13426696,16841648,14804895,15169484,17977145,19129893,19168060,,,14785874,,Adjustment with Subway Div. a/c joint traffic—Cr.,,,,,,,,,,,,,,7,"Recapitulation by Boroughs - Elevated Division - Fiscal Years Ended June 30, 1920 to 1929"
,374293051,348517216,348524700,359410056,352723553,346204874,359019660,351258534,348569124,,,369034477,,"Total, Elevated Division",,,,,,,,,,,,,,7,"Recapitulation by Boroughs - Elevated Division - Fiscal Years Ended June 30, 1920 to 1929"
,1013678831,993492690,1025175131,1074343243,1089544225,1130484647,1173646256,1248952001,1281015927,,,955133110,,"Grand Total, Subway and Elevated Divisions",,,,,,,,,,,,,,7,"Recapitulation by Boroughs - Elevated Division - Fiscal Years Ended June 30, 1920 to 1929"
,29565260,31966237,34678063,37594651,39493384,43730556,48123566,55093646,55944801,,,26531199,,,Times Square,,,,,,,,,,,,,7,"Total Fare Collections at the Times Square, Grand Central and Borough Hall Stations of the I.R.T."
,40307748,29938128,33137189,35864163,37234126,39254110,40206328,44371106,46350069,,,44484254,,,Grand Central,,,,,,,,,,,,,7,"Total Fare Collections at the Times Square, Grand Central and Borough Hall Stations of the I.R.T."
,14868200,13845012,13467607,13640702,18414219,13600154,13474123,14652274,15170981,,,13320801,,,Borough Hall,,,,,,,,,,,,,7,"Total Fare Collections at the Times Square, Grand Central and Borough Hall Stations of the I.R.T."
,16841830,18764086,14867004,14779906,14971081,14410831,14896316,15444985,15905668,,BROOKLYN BRIDGE STATION,18934009,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,14790521,15905471,13886468,12844560,12970766,12970988,12209849,11475633,13679110,,Park Row,16990396,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,2043309,1855585,1980267,1939240,2004315,2005843,2026407,1969145,2029512,,Sands Street,2234282,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,85778824,88198280,40886697,44347258,46651513,49411838,49908705,47825898,47141448,,FULTON STREET AVE.,86108615,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,105251,75334,71692,417622,56823,45006,41605,33895,24135,,Fulton Ferry,137984,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,1048597,880384,919681,1040214,1141309,1303463,1603811,1565507,1639537,,Court Street,1622416,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,474830,44613,38352,76302,77121,83755,69759,66042,60420,,Myrtle Avenue,441005,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,1871637,1163904,1143919,1193663,1217254,1212625,1244624,1298163,1296053,,Boerum Place,2061100,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,1263965,1088961,1106116,1166048,1192826,1239783,1280960,1321716,1270378,,Elm Place,1959724,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,21618,26402,27609,27840,27113,26183,26293,25568,24791,,Duffald Street,26612,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,2813955,2840152,3125635,3854869,3544893,3046683,3751822,3744353,3766898,,Flatbush Avenue,3862201,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,392262,361748,393474,435419,433376,429160,440893,432399,440720,,Lafayette Avenue,488628,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,440593,460150,561622,465763,432600,501400,422196,432891,449986,,Cumberland Street,478767,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,609701,563267,602625,671636,722059,756084,751953,756664,760887,,Vanderbilt Avenue,676247,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,643716,643777,688351,693929,672364,641160,650895,671363,671363,,Grand Avenue,485302,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,1623286,1660902,1791788,1885815,1919907,1940628,2029748,2011874,2036643,,Franklin Avenue,1244547,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
