Line Type,Number of Fare Passengers Carried During Fiscal Year 1939,Increase or (D) Decrease in Traffic During 1939 - Number of Passengers,Increase or (D) Decrease in Traffic During 1939 - Per Cent,Month,Year,Station,Fiscal Year 1939,Fiscal Year 1938,Increase or (D) Decrease Number,Increase or (D) Decrease Per Cent,STATIONS,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,Line,Borough,LINE,BOROUGH,_page,_page_desc
,,,,,,,,,,,Ditmars Boulevard,2609558,2601158,2566050,2396460,2303460,2330800,2519600,2488320,2417020,2285160,,,,,9,"Lower table: Fiscal Years Ended June 30 - station ridership data for Culver Line, 14th Street Eastern Line, Astoria Line, Flushing Line and other stations from 1930-1939"
,,,,,,,,,,,FLUSHING LINE,14470747,16126118,16070776,14643868,14449368,16815810,,14065437,13740281,13376881,,,,,9,"Lower table: Fiscal Years Ended June 30 - station ridership data for Culver Line, 14th Street Eastern Line, Astoria Line, Flushing Line and other stations from 1930-1939"
,,,,,,,,,,,53d Street (Rawson Street),763711,660227,689524,637946,644760,573024,614792,691003,622600,,,,,,9,"Lower table: Fiscal Years Ended June 30 - station ridership data for Culver Line, 14th Street Eastern Line, Astoria Line, Flushing Line and other stations from 1930-1939"
,,,,,,,,,,,46th Street (Bliss Street),1688162,1787004,1816850,1758733,1684108,1672760,1717420,1630681,1624949,1510171,,,,,9,"Lower table: Fiscal Years Ended June 30 - station ridership data for Culver Line, 14th Street Eastern Line, Astoria Line, Flushing Line and other stations from 1930-1939"
,,,,,,,,,,,52d Street (Lincoln Avenue),599434,617881,644967,607819,608101,601550,,,,,,,,,9,"Lower table: Fiscal Years Ended June 30 - station ridership data for Culver Line, 14th Street Eastern Line, Astoria Line, Flushing Line and other stations from 1930-1939"
,,,,,,,,,,,61st Street (Woodside),3124909,3174429,2881448,2744960,2753610,2899420,3248820,3393409,3063285,3025850,,,,,9,"Lower table: Fiscal Years Ended June 30 - station ridership data for Culver Line, 14th Street Eastern Line, Astoria Line, Flushing Line and other stations from 1930-1939"
,,,,,,,,,,,69th Street (Fisk Avenue),614659,626519,561653,631370,630970,291168,359819,376776,378570,,,,,,9,"Lower table: Fiscal Years Ended June 30 - station ridership data for Culver Line, 14th Street Eastern Line, Astoria Line, Flushing Line and other stations from 1930-1939"
,,,,,,,,,,,"74th Street, Broadway",3884453,3967817,,,,,,,,,,,,,9,"Lower table: Fiscal Years Ended June 30 - station ridership data for Culver Line, 14th Street Eastern Line, Astoria Line, Flushing Line and other stations from 1930-1939"
,,,,,,,,,,,82nd Street (Jackson Heights),1340550,1344520,1347160,1304631,1221693,1167819,1197029,1141850,1049842,1003685,,,,,9,"Lower table: Fiscal Years Ended June 30 - station ridership data for Culver Line, 14th Street Eastern Line, Astoria Line, Flushing Line and other stations from 1930-1939"
,,,,,,,,,,,"90th Street, Elmhurst Avenue",963768,1031836,1065272,1067114,1096807,1028915,1045837,981773,875075,,,,,,9,"Lower table: Fiscal Years Ended June 30 - station ridership data for Culver Line, 14th Street Eastern Line, Astoria Line, Flushing Line and other stations from 1930-1939"
,,,,,,,,,,,Junction Boulevard,1509272,1583441,1464498,1263240,1236855,1293697,1363712,1364780,1348746,1231321,,,,,9,"Lower table: Fiscal Years Ended June 30 - station ridership data for Culver Line, 14th Street Eastern Line, Astoria Line, Flushing Line and other stations from 1930-1939"
,,,,,,,,,,,103th Street (Alburtis Avenue),1390268,1494478,1398924,1348340,1373460,,400573,638705,793458,,,,,,9,"Lower table: Fiscal Years Ended June 30 - station ridership data for Culver Line, 14th Street Eastern Line, Astoria Line, Flushing Line and other stations from 1930-1939"
,,,,,,,,,,,111th Street,370590,379415,374048,360708,305333,400212,,,,,,,,,9,"Lower table: Fiscal Years Ended June 30 - station ridership data for Culver Line, 14th Street Eastern Line, Astoria Line, Flushing Line and other stations from 1930-1939"
,,,,,,,,,,,Willets Point,,,,,,,,,,,,,,,9,"Lower table: Fiscal Years Ended June 30 - station ridership data for Culver Line, 14th Street Eastern Line, Astoria Line, Flushing Line and other stations from 1930-1939"
,,,,,,,,,,,"Main Street, Flushing",2420577,2632463,2821392,2985347,3212335,3314046,3763181,3617496,3207256,3393700,,,,,9,"Lower table: Fiscal Years Ended June 30 - station ridership data for Culver Line, 14th Street Eastern Line, Astoria Line, Flushing Line and other stations from 1930-1939"
,,,,,,,,,,,Total,437120450,424258369,399448069,372861447,370851984,365195696,370935854,361201725,340397825,337690028,,,,,9,"Lower table: Fiscal Years Ended June 30 - station ridership data for Culver Line, 14th Street Eastern Line, Astoria Line, Flushing Line and other stations from 1930-1939"
,,,,,,,,,,,Conductor Collections-Culver Line,,,,,217623,948919,939289,812147,617258,907308,,,,,9,"Lower table: Fiscal Years Ended June 30 - station ridership data for Culver Line, 14th Street Eastern Line, Astoria Line, Flushing Line and other stations from 1930-1939"
,,,,,,,,,,,BRIGHTON BEACH LINE,85029278,84176156,88641687,85175860,81979928,81689681,85465981,88819774,88918411,88047867,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Dean Street,414882,485824,486040,506991,517041,412815,1440153,1620298,1328151,1307098,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Park Place,831482,818045,795103,808991,1286076,1377952,5334898,8273604,3149428,3224684,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Botanic Garden (Eastern Parkway),972092,1210616,1261944,1302049,1286499,3284684,5334898,8273604,3149428,3224684,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Prospect Park,4068418,4031394,3684212,4289296,1922326,1981244,3058629,4499084,2050018,2050527,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Parkside Avenue,1434538,1360949,1624003,1865675,1955675,1025162,1064776,1007862,978543,968188,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Church Avenue,6197500,6214243,6087017,6551379,1044768,1025162,1041778,1007862,978543,968188,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Beverly Road,1223841,1188596,1250080,1351034,1635023,1639267,1698432,1749038,1815698,1853025,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Cortelyou Road,1444203,1779427,1662805,1629806,,1450255,1589302,3460947,3419119,3436971,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Newkirk Avenue,3379369,3332955,3088102,3064668,1178432,1160910,1195750,1187209,1433015,1600616,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Avenue H,1905941,1955130,1930130,2150239,1901597,1842825,1838043,2069544,2315209,2460616,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Avenue I,2860188,3722473,3492002,4431175,2006795,2038886,3095482,8081966,3058409,2026641,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Avenue J,2969270,5068872,2975814,2101448,7201251,7129891,7440654,8058250,8231462,4341647,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Avenue M,7307642,7172984,6891146,7185618,4882796,4800318,4838870,5034178,5386642,4000843,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Kings Highway,4747023,4474845,4837331,6250825,3901673,2696771,2260101,1285593,1348803,1419468,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Avenue U,1251940,1313335,1291509,1301020,3886130,3951454,4072253,5047177,8853410,6541771,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Neck Road,5085879,4765294,4518520,5051928,6231073,8903863,5038861,9754882,,,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Sheepshead Bay,5002811,6615002,8822882,6208063,3171302,2706858,2105743,3068767,5012434,1855860,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Brighton Beach,1692263,2179429,2098040,2317170,6783103,8779547,8370783,8016781,,,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Ocean Parkway,5694323,5156143,10824086,8717611,1957017,1033794,1044768,985975,1077443,1010190,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,FTH AVENUE - BAY RIDGE,14690838,,,,,,,,,,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,9th Street,1910838,1931761,1748850,1476518,1103076,1033794,1044768,985975,828597,764386,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Atlantic Avenue,1906787,1873846,1525930,1318303,823874,291021,291410,267335,494911,469870,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,St. Marks Avenue,492736,480660,382797,373201,587620,565073,563348,507735,442190,431107,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Union Street,883224,838965,753097,655776,490396,595932,558315,509708,442190,431107,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,2d Street,654697,833696,,,939959,688433,840042,760131,448530,403219,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,9th Street,1501528,1420382,1369763,1115412,661918,659761,472844,454122,417806,415188,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,16th Street,1002617,985780,879806,794622,441241,455134,,,179067,179800,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,20th Street,726801,701628,640589,566741,181919,175706,157119,,383670,358033,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,25th Street,905896,805948,640760,616423,433480,411877,461630,483683,,,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,36th Street,672427,636187,618610,480678,,,,,,,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,40th Street,878976,829402,737207,397201,196818,,,,,,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,45th Street,472574,465402,351697,,239105,,,,,,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,53d Street,414791,380235,325900,308279,163196,,,,,,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,58th Street,380595,361428,311260,264003,265809,,,,,,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,65th Street,507629,335420,305141,,,,,,,,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Total,88566857,85831834,84307892,85118276,85197976,83864819,85889475,88456428,81339376,81825783,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,SEA BEACH LINE - 8th Avenue (also 7th Avenue),3012635,2873846,2806046,3475911,3538225,2516897,2533420,2560845,2363649,2283972,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Ft. Hamilton Avenue (also 15th Avenue),1869144,1854846,1637259,,2059098,,2620244,1307420,1250995,1251622,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,New Utrecht Ave. (also 16th Ave.),1305242,1290294,1296473,1211810,,3656237,3641334,3004668,3431000,2016079,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,18th Avenue (also 17th Avenue),3925080,3187943,3137032,2766502,2156481,2170867,4254094,4148467,4021033,3962251,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,20th Avenue,2478728,3448360,3276040,2102115,3084869,3071717,3102082,3038044,2949447,,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,22d Avenue (also Avenue O),4330876,4352389,4275015,3027622,3050477,3071717,3102082,3038044,2949447,,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Kings Highway (also Avenue R),3314491,3337884,3194025,3037622,2267176,2260657,,,,,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Avenue U (also Avenue T),755270,2579784,2409154,2264147,846379,601482,746391,796578,762373,751872,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Total,,760483,695142,,,,,,,,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,NET ISLAND TERMINALS - Stillwell Avenue (West End),17058828,17226843,15969082,15939697,14507063,14880628,18669896,19922933,,,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Norton's Point (c),13557867,13273016,11883096,12491734,11360620,10941367,11997353,,2417952,2428922,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,West 8th Street (Culver),2559977,2495132,2397024,,1686617,1597353,1115267,2430071,,1035809,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Total,276224672,269895787,253455925,239285323,233663334,229888952,233700556,223374621,205401158,201001024,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,Conductors' collections and miscellaneous adjustments,1088614,1074805,920416,848897,3201264,2197494,3330431,5100078,3605443,3451395,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,"Total, Company-Owned Lines",277313186,270970592,254376341,240134220,235864598,232086446,237030987,228474599,209006601,204453219,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,"Total, New York Rapid Transit Corporation",714433616,605228660,653624410,612905667,606434205,598231061,608904180,890488471,550221684,543050814,,,,,10,"Stations on Company-Owned Lines (Concluded) - Fares collected by stations fiscal years 1930-1939, top section"
,,,,,,,,,,,,,,,,,,,,,,,,CITY-OWNED LINES,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,199805105,193228167,176628862,164129140,163168064,161462785,162957607,159487955,151839051,150181084,,,"Broadway Line, Manhattan",,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,5038541,4938466,4814558,4628497,4320678,4161638,4632758,4637758,4271231,4283023,,,"Canal Street, Broadway, Manhattan",,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,34323914,31160376,28148063,25044348,9678721,9419067,9863522,9651393,8354510,7502958,,,Centre Street Loop,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,,492091,8469563,8828580,8010360,,,,789750,,,,Nassau Street Line,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,10212047,9809280,9580005,9205861,4354990,4265221,4310969,4166157,3968936,3854616,,,Montague Street Tunnel Connection (a),,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,6111043,6103871,5809871,5741443,3623143,2850565,34369351,33678912,,,,,Flatbush Ave. Conn. (Brighton Beach Line)(b),,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,41653726,64083006,59591179,64222500,51886258,49298066,40852918,40070372,36959342,35726483,,,Fourth Avenue (Brooklyn) Line,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,44238714,43420098,41609783,33714043,27638665,27702180,27973891,27743470,26679926,26718089,,,Fourteenth Street - Eastern Line,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,62505343,62459339,59386437,56223393,,,,,,,,,New Utrecht Avenue Branch,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,13163841,13287124,13504064,12955786,12941784,11165438,11153749,11002870,2678007,3778837,,,Culver Line,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,4228581,2807619,2576885,1918025,1808707,7003879,6801246,7026278,6841861,6413538,,,Queens Plaza,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,6240810,6240810,,,,,,,13740921,,,,Astoria Branch,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,14670747,15192118,16070775,14643262,14442368,14840332,15213810,14683437,,,,,Flushing Line,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,437120430,434258368,399448069,372861447,370369507,365195695,370833854,361201725,340227825,337600209,,,Total,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,,,,,817023,948919,939289,813147,817255,907390,,,Conductors' Collections - Culver Line,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,437120430,434258368,399448069,372861447,370569507,366144515,371873143,362013872,341816083,338507595,,,"Total, City-owned Lines",,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,,,,,,,,,,,,,COMPANY-OWNED LINES,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,12809180,11635021,9024255,7535126,7050860,6778593,6865263,6746127,4723644,4386030,,,Brooklyn Bridge Stations,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,49027945,47817963,44529179,40512120,30549084,39004130,6370788,6016781,5223447,4907617,,,Fulton Street Line,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,12035323,10650483,49222010,66849792,46594961,40085838,47060125,44074023,37820195,13603888,,,Fifth Avenue - Bay Ridge Line,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,50019487,50419763,,,10657474,,,,,,,,Lexington Avenue Line (Jamaica),,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,20980017,20001631,18725392,16905808,,,17233895,16510789,14924882,14357662,,,Myrtle Avenue Line,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,20761907,19538193,10785905,9942896,9726683,9382962,9609002,9297498,8186444,8364587,,,Broadway (Brooklyn Stations),,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,8863018,14888073,,,,,,,,,,,Canarsie Line,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,63092273,54178135,62541627,32175886,33497076,23364510,23338475,22327028,22839372,21885733,,,Sea Beach Line,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,25655387,25688470,37819299,47831382,23497076,,23338475,22327028,22839372,12785903,,,Brighton Beach Line,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,13750433,17512699,15514779,15939697,14507063,13680893,13669695,18992933,12987061,,,,Coney Island Terminals,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,276234672,269895787,253455925,239285323,233663334,229888952,233700556,223374621,205401158,201001024,,,Total,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,110512,147421,120443,194017,194678,125405,120705,95170,112150,1146183,,,Conductors' Collections: Myrtle Avenue Line,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,,,,,114073,1638020,1635020,1695400,1218813,,,,Conductors' Collections: Fulton Street Line,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,146339,138758,153605,180465,129368,146820,195746,174385,,131556,,,Conductors' Collections: Fifth Avenue - Bay Ridge,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,,,,,,,,,,,,,Conductors' Collections: Lexington Avenue Line,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,370554,197053,171480,180331,130938,120994,140362,,135114,,,,Conductors' Collections: Canarsie Line,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,687632,615161,875582,700139,1902955,1234255,1985163,1378927,1565119,934885,,,Total Conductors' Collections,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,400982,459824,844834,148758,202509,363239,860239,62031035,,,,,Miscellaneous Adjustments,,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,1088614,1074805,920416,848897,3201264,2197494,3330431,8100078,3605443,3451395,,,"Total, Conductors' Collections and Miscellaneous Adjustments",,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,277313186,270970592,254376341,240134220,235864598,232086446,237030987,228474599,209006601,204453219,,,"Total, Company-owned Lines",,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,714433616,605228660,653624410,612905667,606434205,598231061,608904180,890488471,550221684,543050814,,,"Grand Total, New York Rapid Transit Corporation",,10,"New York Rapid Transit Corporation - Fares Collected by Stations, Fiscal Years Ended June 30, 1930 to 1939, Recapitulation by Lines"
,,,,,,,,,,,,263244822,252794967,,327768615,321008920,316086079,321794830,312366562,293718485,173262,,,,Manhattan,10,"Recapitulation by Boroughs - Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,,,,349824554,,,,,,,85245300,,,,Brooklyn,10,"Recapitulation by Boroughs - Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,,68473858,65245419,67234957,64660804,63621202,62418687,4269720,6912245,6422701,3458601,,,,Queens,10,"Recapitulation by Boroughs - Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,,1088614,1074805,920416,848897,,3146418,,,,,,,,Unallocated,10,"Recapitulation by Boroughs - Fiscal Years Ended June 30, 1930-1939"
,,,,,,,,,,,EIGHTH AVENUE LINE,,,,,,,,,,,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"207th Street (from Sept. 10, 1932)",,,,1608428,2882434,2568681,2604081,2091835,2276935,2897598,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Dyckman Street (from Sept. 10, 1932)",,,,1641356,3126505,3005986,2882285,2844089,2732026,3153789,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"Overlook Terrace (from Sept. 10, 1932)",,,,493332,797876,959683,1085569,1206947,1836482,1493267,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
,,,,,,,,,,,"181st Street (from Sept. 10, 1932)",,,,3807453,3295008,3562453,3769951,4028983,4854124,4584774,,,,,11,"Independent City-Owned Rapid Transit Railroad System - Fares Collected by Stations, Fiscal Years Ended June 30, 1933 to 1939 - Eighth Avenue Line and Houston-Essex Street Line"
